,Location,phone,address,ip,webisite
154,文台寶塔,06-921-6521,澎湖縣白沙鄉通西嶼鄉橋樑,119.55453/23.657823,https://www.penghu-nsa.gov.tw/TravelInformationSceneryDetailC001200.aspx?Cond=bcd530cb-32e6-4b7a-ae23-9c30a6877edd&SortType=1&SearchAdvanced=False&Language=1028
155,香蕉碼頭,07-521-5559,高雄市鼓山區蓬萊路17號,120.27808/22.618767,http://khh.travel/Article.aspx?a=6852&l=1
156,小烏來風景特定區,03-382-1235,桃園市復興區下宇內4-6號,121.37571/24.793247,http://travel.tycg.gov.tw/zh-tw/Travel/Attraction/1011
157,國立臺灣史前文化博物館,(089)381-166,臺東縣臺東市博物館路1號,121.09302/22.76067,http://www.nmp.gov.tw
158,清水斷崖,(03)862-1100~6,花蓮縣新城鄉,121.68997/24.218833,http://www.taroko.gov.tw/zh-tw/Tourism/AttractionDetail?id=12
159,大里天公廟,(03)978-1075,宜蘭縣頭城鎮濱海路七段33號,121.9254/24.969802,https://www.necoast-nsa.gov.tw/Attraction-Content.aspx?a=266&l=1
160,淡水金色水岸,02-2626-7613(淡水捷運站旅遊服務中心),新北市淡水區,121.44374/25.167863,https://tour.ntpc.gov.tw/zh-tw/Attraction/Detail?wnd_id=60&id=209657
161,嘉義文化路夜市,05-229-4593,嘉義市東區文化路,120.44969/23.479481,https://travel.chiayi.gov.tw/travel-content?id=34&lang=zh_TW
162,信義商圈,02-2720-8889,臺北市信義區松壽路,121.56499/25.035898,https://www.travel.taipei/zh-tw/attraction/details/1573
163,角板山公園,03-394-6061,桃園市復興區中正路,121.35106/24.817978,Oops!
164,基隆嶼,02-2428-7664(基隆市旅遊服務中心),基隆市中正區基隆嶼,121.78555/25.192222,https://tour.klcg.gov.tw/zh/attractions/coastal/%E5%9F%BA%E9%9A%86%E5%B6%BC/
165,霧社,049-280-2534,南投縣仁愛鄉,121.11661/24.025969,Oops!
166,七股鹽山,(06)780-0511,臺南市七股區鹽埕里66號,120.09999/23.154125,https://swcoast-nsa.travel/zh-tw/attraction/details/59
167,基隆港,02-2428-7664(基隆市旅遊服務中心),基隆市仁愛區忠一路,121.74131/25.130983,https://tour.klcg.gov.tw/zh/attractions/coastal/%E5%9F%BA%E9%9A%86%E6%B8%AF/
168,瑞穗溫泉,(03)887-5306,花蓮縣瑞穗鄉,121.34401/23.496725,https://www.erv-nsa.gov.tw/zh-tw/attractions/detail/47
169,蘇花公路,(03)862-1100~6,花蓮縣新城鄉,121.78251/24.372073,Oops!
170,富源國家森林遊樂區,03-881-2377,花蓮縣瑞穗鄉富源村,121.36845/23.586027,https://recreation.forest.gov.tw/Forest/RA?typ=0&typ_id=0800001
171,翟山坑道,(082)313-241,金門縣金城鎮珠水路,118.31819/24.388525,http://www.kmnp.gov.tw/playstation/info/29
172,高雄孔廟,07-222-7914,高雄市左營區蓮潭路400號,120.29904/22.689238,http://khh.travel/Article.aspx?a=6455&l=1
173,北港朝天宮,(05)783-2055,雲林縣北港鎮中山路178號,120.30464/23.567805,https://tour.yunlin.gov.tw/tw/index.asp?au_id=82&sub_id=101&id=57
174,龍門露營渡假基地(龍門露營區),02-24991791,新北市貢寮區興隆街100號,121.94027/25.016698,https://www.necoast-nsa.gov.tw/Attraction-Content.aspx?a=191&l=1
175,七美嶼,(06)997-1007,澎湖縣七美鄉,119.43111/23.207777,http://penghutravel.com/TravelInformationSceneryDetailC000000.aspx?Cond=8225b379-fb65-4bc6-846f-b230b54e8d5c&Keyword=%e4%b8%83%e7%be%8e&SortType=1&SearchAdvanced=False&Language=1028
176,新埔小鎮,(03)5881311,新竹縣新埔鎮中正路776號,121.07129/24.827879,Oops!
177,布洛灣台地,(03)862-1100~6,花蓮縣秀林鄉,121.57302/24.170665,http://www.taroko.gov.tw/zh-tw/Tourism/AttractionDetail?id=2
178,西嶼西臺,06-998-1026,澎湖縣西嶼鄉縣道203線,119.48972/23.564167,https://www.penghu-nsa.gov.tw/TravelInformationSceneryDetailC001200.aspx?Cond=50aa3b29-372c-4717-bb60-8eb60699121e&language=1028&SearchAdvanced=false
179,高雄農場,(07)683-1115,高雄市美濃區吉洋里外六寮500號,120.53077/22.8322,http://www.kaohsiungfarm.com.tw
180,暖東峽谷,02-2425-8236,基隆市暖暖區東勢街,121.75487/25.076921,https://tour.klcg.gov.tw/zh/attractions/ecotourism/%E6%9A%96%E6%9D%B1%E5%B3%BD%E8%B0%B7/
181,情人谷,07-688-1001(寶來遊客中心),高雄市六龜區高132鄉道,120.66011/22.880407,https://www.maolin-nsa.gov.tw/user/article.aspx?lang=1&SNo=04000050
182,古寧頭戰史館,082-313-100,金門縣金寧鄉南山路,118.32099/24.482999,http://www.kmnp.gov.tw/playstation/info/18
183,莒光樓,(082)325-632,金門縣金城鎮賢城路1號,118.31906/24.423580,http://kinmen.travel/zh-tw/travel/attraction/389
184,蘭嶼,089-732-001,臺東縣蘭嶼鄉椰油村忠孝街295號,121.50854/22.057374,https://tour.taitung.gov.tw/zh-tw/attraction/lanyu
185,鯉魚潭,03-8641691,花蓮縣壽豐鄉池南村環潭北路100號,121.50741/23.93059,https://www.erv-nsa.gov.tw/zh-tw/attractions/detail/30
186,秀姑巒溪,(03)887-5400,花蓮縣瑞穗鄉瑞良村中山路三段215號,121.40120/23.488881,https://www.eastcoast-nsa.gov.tw/zh-tw/attractions/detail/13
187,二崁傳統聚落,06-998-1952,澎湖縣西嶼鄉二崁村,119.51959/23.604525,https://www.penghu-nsa.gov.tw/TravelInformationSceneryDetailC001200.aspx?Cond=f6c6b122-f0ff-4572-832a-413fb223a808&Keyword=%e4%ba%8c%e5%b4%81&SortType=1&SearchAdvanced=False&Language=1028
188,東海大學,04-2359-0121,臺中市西屯區臺灣大道四段1727號,120.60261/24.18258,https://www.thu.edu.tw/index.html
189,壽山動物園,(07)521-5187,高雄市鼓山區萬壽路350號,120.27515/22.635531,http://khh.travel/Article.aspx?a=6832&l=1
190,國立科學工藝博物館,(07)380-0089,高雄市三民區九如一路720號,120.32257/22.640138,http://www.nstm.gov.tw
191,馬那邦山,037-352-961,苗栗縣大湖鄉東興產業道路,120.89389/24.379163,https://miaolitravel.net/article.aspx?sNo=04004555
192,大武崙砲臺,02-2428-7664(基隆市旅遊服務中心),基隆市安樂區基金一路208巷19號,121.70935/25.158692,https://tour.klcg.gov.tw/zh/attractions/forts/%E5%A4%A7%E6%AD%A6%E5%B4%99%E7%A0%B2%E5%8F%B0/
193,池南國家森林遊樂區,03-864-1594,花蓮縣壽豐鄉池南村,121.50089/23.91856,https://recreation.forest.gov.tw/Forest/RA?typ=0&typ_id=0800002
194,卑南遺址公園,(089)233-466,臺東縣臺東市文化公園路200號,121.11697/22.794065,https://tour.taitung.gov.tw/zh-tw/attraction/details/304
195,太湖遊憩區,082-332-528,金門縣金湖鎮太湖路三段,118.42629/24.439805,http://kinmen.travel/zh-tw/travel/attraction/507
196,金山溫泉,02-2498-8980(金山遊客中心),新北市金山區,121.64263/25.224398,https://www.northguan-nsa.gov.tw/user/Article.aspx?Lang=1&SNo=04005472
197,青草湖,(03)521-6121,新竹市東區環湖道路,120.96945/24.775455,https://www.tourism.hccg.org.tw/topic_4
198,雲嘉南濱海國家風景區-北門遊客中心,06-786-1017,臺南市北門區北門里200號,120.12396/23.267152,https://swcoast-nsa.travel/zh-tw/attraction/details/154
199,藤枝國家森林遊樂區,07-689-5123,高雄市桃源區寶山里藤枝段78號,120.75451/23.067871,https://recreation.forest.gov.tw/Forest/RA?typ=0&typ_id=0600001
200,新北瑞芳-水金九地區礦山秘境,Oops!,新北市瑞芳區,121.80000/25.116666,Oops!
201,鹽寮海濱公園,02-2490-3991,新北市貢寮區研海街45號,121.92645/25.042168,https://www.necoast-nsa.gov.tw/Area-Content.aspx?a=151&l=1
202,光之穹頂,07-793-8888(高雄捷運),臺灣高雄市新興區中山一路115號(高雄捷運美麗島站B1),120.30268/22.631118,http://khh.travel/Article.aspx?a=6435&l=1
203,行天宮,(02)2502-7924,臺北市中山區民權東路二段109號,121.53375/25.062681,https://www.ht.org.tw/
204,知本國家森林遊樂區,089-510-961,臺東縣卑南鄉溫泉村,120.99214/22.686961,https://recreation.forest.gov.tw/Forest/RA?typ=0&typ_id=0700001
205,金門陶瓷廠,082-332-856,金門縣金湖鎮漁村14號,118.40698/24.435365,http://kinmen.travel/zh-tw/travel/attraction/664
206,九棚大沙漠,08-880-1105,屏東縣滿州鄉港仔路,120.87913/22.131881,https://www.dbnsa.gov.tw/Scenery-Content.aspx?lang=1&sno=04006742
207,武陵農場,04-2590-1259,臺中市和平區武陵路3-1號,121.30830/24.345778,https://www.wuling-farm.com.tw/tw/index.php
208,吉貝嶼,(06)993-3082,澎湖縣白沙鄉吉貝嶼,119.60833/23.744722,https://www.penghu-nsa.gov.tw/TravelInformationSceneryDetailC001200.aspx?Cond=1b4a87a6-6631-4e9b-b305-ecacd2f00364&language=1028&SearchAdvanced=false
209,國立國父紀念館,(02)2758-8008,臺北市信義區仁愛路四段505號,121.55985/25.039252,https://www.yatsen.gov.tw/
210,北投文物館,02-2891-2318,臺北市北投區幽雅路32號,121.51410/25.138356,https://www.travel.taipei/zh-tw/attraction/details/46
211,貓空茶園,02-2720-8889,臺北市文山區指南路三段,121.59516/24.968262,Oops!
212,墾丁牧場,08-886-1358,屏東縣恆春鎮牧場路1號,120.80052/21.944598,Oops!
213,茂林國家風景區-禮納里遊客中心,(08)799-7245,屏東縣瑪家鄉瑪家村和平路1段63號,120.64406/22.699497,http://www.maolin-nsa.gov.tw
214,馬山觀測站,(082)313-100,金門縣金沙鎮光華路二段,118.40886/24.527708,http://www.kmnp.gov.tw/playstation/info/26
215,石梯坪,03-867-1326,花蓮縣豐濱鄉石梯坪52號,121.50753/23.482922,http://www.eastcoast-nsa.gov.tw/zh-tw/Attractions/Detail/12
216,望安嶼,(06)999-1311,澎湖縣望安鄉,119.5/23.383333,Oops!
217,新屋綠色走廊,(03)332-2101,桃園市新屋區濱海林蔭大道,121.01214/24.969963,http://travel.tycg.gov.tw/zh-tw/Travel/Attraction/311
218,后里馬場(暫時休園),04-25152588,臺中市后里區寺山路41號,120.73607/24.298607,https://travel.taichung.gov.tw/zh-tw/Attractions/Intro/65/
219,桶盤嶼,(06)921-6521,澎湖縣馬公市桶盤嶼,119.52777/23.490555,Oops!
220,建國假日花市、玉市,02-2720-8889,臺北市大安區建國南路一段,121.53790/25.038351,http://www.fafa.org.tw
221,內洞國家森林遊樂區,02-2661-7358,新北市烏來區信賢里,121.52619/24.83410,https://recreation.forest.gov.tw/Forest/RA?typ=0&typ_id=0200002
222,寶來溫泉,07-688-1001(寶來遊客中心),高雄市六龜區省道臺20線,120.69833/23.107585,http://www.maolin-nsa.gov.tw/user/Article.aspx?Lang=1&SNo=03001731
223,臺北北投-磺泉玉露的風華小鎮,Oops!,臺北市北投區,121.50965/25.136158,Oops!
224,國立臺灣美術館,(04)2372-3552,臺中市西區五權西路一段2號,120.66351/24.140921,https://www.ntmofa.gov.tw/
225,虎頭埤風景區,(06)590-1325,臺南市新化區中興路42巷36號,120.34102/23.027865,https://www.siraya-nsa.gov.tw/MainWeb/article.aspx?L=1&SNO=04000679
226,關渡自然公園,(02)2858-7417,臺北市北投區關渡路55號,121.46928/25.11937,https://gd-park.org.tw/
227,參山國家風景區-八卦山脈生態遊客中心,04-728-9608,彰化縣彰化市卦山路13-7號,120.55560/24.078548,https://www.trimt-nsa.gov.tw/
228,大天后宮,(06)221-1178,臺南市中西區永福路二段227巷18號,120.20154/22.996616,https://www.twtainan.net/zh-tw/Attractions/Detail/675/
229,東北角暨宜蘭海岸國家風景區-大里遊客中心,(03)978-0727(大里站),宜蘭縣頭城鎮濱海路七段11號,121.92407/24.969428,https://www.necoast-nsa.gov.tw/
230,剝皮寮老街,02-2336-1704,臺北市萬華區康定路173巷,121.50216/25.036838,https://www.travel.taipei/zh-tw/attraction/details/87
231,綠島朝日溫泉,089-671133,臺東縣綠島鄉公館村溫泉路167號,121.50460/22.636796,https://www.eastcoast-nsa.gov.tw/zh-tw/Attractions/Detail/95
232,南鯤鯓代天府(大鯤園),06-786-3711,臺南市北門區鯤江里976號,120.14313/23.286086,https://www.twtainan.net/zh-tw/attractions/detail/466
233,水往上流,089-841520,臺東縣東河鄉台11 線約148公里處,121.21731/22.868595,http://www.eastcoast-nsa.gov.tw/zh-tw/Attractions/Detail/33
234,六十石山,03-882-1725,花蓮縣富里鄉竹田村 (約臺九線308.6K東側轉入),121.31772/23.218788,https://www.erv-nsa.gov.tw/zh-tw/attractions/detail/58
235,六福村主題遊樂園,(03)547-5665,新竹縣關西鎮拱子溝60號,121.18080/24.825281,http://www.leofoo.com.tw/village/
236,鳩之澤溫泉,03-980-9806,宜蘭縣大同鄉,121.50833/24.545855,http://tps.forest.gov.tw/TPSWeb/wSite/ct?xItem=2959&ctNode=277&mp=1
237,鹿港天后宮,(04)777-9899,彰化縣鹿港鎮中山路430號,120.43133/24.059399,http://tourism.chcg.gov.tw/AttractionsContent.aspx?id=104&chk=9b07dd3e-06bb-45d6-8479-54ee7d8897ed&param=pn=1&l=CH
238,西拉雅國家風景區,02-2671-1031,新北市三峽區秀川里長福街1號,121.37023/24.933866,http://www.longfuyan.org.tw
239,三峽清水祖師廟,06-690-0399,臺南市官田區官田里福田路99號,120.48184/23.221533,https://www.siraya-nsa.gov.tw/MainWeb/main.aspx?L=1
240,坪林茶業博物館,(02)2665-6035,新北市坪林區水聳淒坑19-1號,121.71276/24.934331,http://www.tea.ntpc.gov.tw/
241,飛牛牧場,(037)782-999,苗栗縣通霄鎮南和里166號,120.73987/24.442032,https://www.flyingcow.com.tw/
242,福壽山農場,(04)2598-9202,臺中市和平區福壽路29號,121.24578/24.244921,https://www.trimt-nsa.gov.tw/areadetail?id=111
243,高雄市立歷史博物館,(07)531-2560,高雄市鹽埕區中正四路272號,120.28688/22.626737,http://khm.org.tw/home01.aspx?ID=1
244,高雄市立美術館,(07)555-0331,高雄市鼓山區美術館路80號,120.28673/22.656247,https://khh.travel/Article.aspx?a=6367&l=1&stype=1059&sitem=4143
245,大板根森林溫泉渡假村,06-266-0808,臺南市仁德區文華路二段66號,120.22602/22.934560,https://www.chimeimuseum.org/
246,奇美博物館,(02)2674-9228,新北市三峽區插角里79號,121.40332/24.872125,https://www.thegreatroots.com/
247,萬金聖母聖殿,08-783-2005,屏東縣萬巒鄉萬金村萬興路24號,120.61125/22.595029,https://www.pthg.gov.tw/townwlt/cp.aspx?n=B5846F71CD12285A
248,虎井嶼,(06)921-6521,澎湖縣馬公市虎井嶼,119.52777/23.490555,https://www.penghu-nsa.gov.tw/TravelInformationSceneryDetailC001200.aspx?Cond=73d7ddd1-2ae1-414f-824f-201eaca0c400&language=1028&SearchAdvanced=false
249,石門洞,(02)8635-5100（白沙灣遊客中心）,新北市石門區崁仔腳,121.56884/25.296292,https://www.northguan-nsa.gov.tw/user/Article.aspx?Lang=1&SNo=04002494
250,大雪山國家森林遊樂區,(04)2587-7901,臺中市和平區,120.97440/24.246652,https://recreation.forest.gov.tw/Forest/RA?typ=0&typ_id=0300003
251,彰化鹿港-工藝、美食、古蹟,Oops!,彰化縣鹿港鎮,120.43333/24.050000,Oops!
252,鵝鑾鼻燈塔,08-8851111,屏東縣恆春鎮鵝鑾里燈塔路90號,120.85269/21.90228,https://lighthouse.motcmpb.gov.tw/lighthouse_3_20.html
253,指南宮,07-522-8633,高雄市鼓山區至聖路及南屏路口,120.30006/22.659591,http://khh.travel/Article.aspx?a=6877&l=1&stype=1057&sitem=4083
254,凹仔底森林公園,(02)2939-9922,臺北市文山區萬壽路115號,121.58687/24.978597,https://www.travel.taipei/zh-tw/attraction/details/64
255,滿月圓國家森林遊樂區,(02)2672-0004,新北市三峽區,121.44517/24.83658,https://recreation.forest.gov.tw/Forest/RA?typ=0&typ_id=0200001
256,小門嶼,(06)921-6521,澎湖縣西嶼鄉小門嶼,119.52083/23.6525,https://www.penghu-nsa.gov.tw/TravelInformationSceneryDetailC001200.aspx?Cond=faa39b76-3a75-4ca4-8de3-51b1ac06035d&language=1028&SearchAdvanced=false
257,通梁古榕,(06)921-6521,澎湖縣白沙鄉通樑村149號,119.55701/23.656613,https://www.penghu-nsa.gov.tw/TravelInformationSceneryDetailC001200.aspx?Cond=46d40746-2dc0-4bf5-9d41-736200364654&Keyword=%e9%80%9a&SortType=1&SearchAdvanced=False&Language=1028
258,八仙洞,(089)881-418,臺東縣長濱鄉三間村水母丁1-4號,121.47666/23.395970,http://www.eastcoast-nsa.gov.tw/zh-tw/Attractions/Detail/37
259,七股潟湖,(06)786-1000,臺南市七股區,120.06513/23.134676,https://swcoast-nsa.travel/zh-tw/attraction/details/60
260,中華夜市,(04)2228-9111,臺中市中區中華路一段,120.67881/24.14715,https://travel.taichung.gov.tw/zh-tw/Attractions/Intro/36/
261,鹿港龍山寺,04-777-2472,彰化縣鹿港鎮金門巷81號,120.43562/24.050384,http://tourism.chcg.gov.tw/AttractionsContent.aspx?id=91&chk=fb6ba20e-68ce-4ef8-80ac-dd3693ecf7d0&param=pn=1&l=CH
262,井仔腳瓦盤鹽田,06-786-1629,臺南市北門區永華里井仔腳,120.10756/23.258830,https://swcoast-nsa.travel/zh-tw/attraction/details/369
263,八仙山國家森林遊樂區,(04)2595-1214,臺中市和平區,121.00565/24.197378,https://recreation.forest.gov.tw/Forest/RA?typ=0&typ_id=0300002
264,城市光廊,07-799-5678,高雄市前金區中華三路6號,120.29900/22.623513,http://khh.travel/Article.aspx?a=6935&l=1
265,險礁嶼,(06)993-3082,澎湖縣白沙鄉險礁嶼,119.60861/23.711944,https://www.penghu-nsa.gov.tw/TravelInformationSceneryDetailC001200.aspx?Cond=75d13595-7c1f-41ea-84d5-caeaf9738594&language=1028&SearchAdvanced=false
266,高雄美濃-美濃美意情濃,07-681-7508(美濃民俗村),高雄市美濃區中山路二段421巷80號,120.51397/22.893131,http://khh.travel/Article.aspx?a=6437&l=1&stype=1057&sitem=4102
267,鶯歌陶瓷博物館,(02)8677-2727,新北市鶯歌區文化路200號,121.35212/24.949390,https://www.ceramics.ntpc.gov.tw/
268,花博公園,02-2182-8886(臺北市會展產業發展基金會),臺北市中山區玉門街1號(圓山園區),121.52047/25.070172,https://www.expopark.taipei/cl.aspx?n=90
269,王功漁港(王功漁火碼頭),04-898-3589(彰化縣芳苑鄉公所),彰化縣芳苑鄉漁港路,120.32453/23.968987,http://tourism.chcg.gov.tw/AttractionsContent.aspx?id=80&chk=7ca73fbb-c3e0-4c87-ba52-e2b0b3b04065&param=pn=1&l=CH
270,義大遊樂世界,0800-588887,高雄市大樹區學城路一段10號,120.40517/22.729912,http://www.edathemepark.com.tw/Website/index.aspx
271,臺中民俗公園,(04)2245-1310,臺中市北屯區旅順路二段73號,120.68718/24.174689,https://travel.taichung.gov.tw/zh-tw/Attractions/Intro/420/
272,金門國家公園,(082)313-100,金門縣金寧鄉伯玉路二段460號,118.35252/24.444234,http://www.kmnp.gov.tw/
273,安通溫泉,03-887-5306,花蓮縣玉里鎮,121.34227/23.280318,https://www.erv-nsa.gov.tw/zh-tw/attractions/detail/56
274,台江國家公園,06-284-2600,臺南市安南區四草大道118號,120.13626/23.002870,https://www.tjnp.gov.tw//index.aspx
275,集集鎮 - 火車印象‧踩風集集,Oops!,南投縣集集鎮,120.78300/23.830000,Oops!
276,玉山國家公園-水里遊客中心,049-270-2200,南投縣水里鄉中山路一段515號,120.85034/23.813066,https://www.ysnp.gov.tw/
277,竹塹城迎曦門,03-531-9756(新竹市文化局),新竹市東區東門街,120.97100/24.804174,https://www.tourism.hccg.org.tw/hot_detail_4_0
278,紅葉溫泉,(03)887-5306,花蓮縣萬榮鄉紅葉村,121.32563/23.491838,https://www.erv-nsa.gov.tw/zh-tw/attractions/detail/47
279,瑞豐夜市,07-799-5678(高雄市政府觀光局),高雄市左營區裕誠路與南屏路口,120.29980/22.665952,http://khh.travel/Article.aspx?a=5171&l=1
280,大埔石刻,0836-89388(莒光遊客中心),連江縣莒光鄉東莒島西南方,119.96714/25.946462,http://www.matsu-nsa.gov.tw/User/Attraction-Content.aspx?a=78&lang=1
281,國家兩廳院,02-3393-9888,臺北市中正區中山南路21-1號,121.51903/25.036731,http://npac-ntch.org/zh/
282,大溪花海農場,03-388-0801,桃園市大溪區復興路一段1093巷27號,121.29031/24.843707,http://www.tasheeblmn.com.tw
283,法鼓山,02-2498-7171,新北市金山區三界里7鄰半嶺14-5號,121.61606/25.24113,https://www.ddm.org.tw/
284,小白沙嶼,(06)993-3082,澎湖縣白沙鄉小白沙嶼,119.66706/23.678175,https://www.penghu-nsa.gov.tw/TravelInformationSceneryDetailC001200.aspx?Cond=ca57b919-5fc7-415d-a22c-c224863df05e&language=1028&SearchAdvanced=false
285,大龍峒保安宮,(02)2595-1676,臺北市大同區哈密街61號,121.51542/25.073159,http://www.baoan.org.tw
286,鹿港民俗文物館,(04)777-2019,彰化縣鹿港鎮館前街88號,120.43648/24.053883,http://tourism.chcg.gov.tw/AttractionsContent.aspx?id=150&chk=d189a6d4-64e5-4e0b-8c48-6732e6202319&param=pn=1&l=CH
287,國立傳統藝術中心,03-9508859,宜蘭縣五結鄉五濱路二段201號,121.82348/24.685471,https://www.ncfta.gov.tw/
288,不老溫泉,(03)870-2100,花蓮縣光復鄉糖廠街19號,121.41995/23.656756,https://tour-hualien.hl.gov.tw/POI/117
289,花蓮觀光糖廠,07-688-1001(寶來遊客中心),高雄市六龜區鄉道高133線,120.68507/23.066142,http://www.maolin-nsa.gov.tw/user/Article.aspx?Lang=1&SNo=03001731
290,臺中都會公園,(04)2461-2483,臺中市西屯區西平南巷30-3號,120.59625/24.205642,https://travel.taichung.gov.tw/zh-tw/Attractions/Intro/71/
291,埔心牧場,03-4644132轉123、125,桃園市楊梅區高榮里幼獅路一段439號,121.17872/24.926979,https://www.pushin-ranch.com/
292,興中觀光夜市,07-333-8993,高雄市苓雅區三多三路與文橫二路口,120.30684/22.614811,http://khh.travel/Article.aspx?a=6338&l=1
293,石雨傘,(089)841-520,臺東縣成功鎮台11線105.8公里路旁,121.40327/23.176716,http://www.eastcoast-nsa.gov.tw/zh-tw/Attractions/Detail/40
294,五峰旗風景特定區,(03)988-0940,宜蘭縣礁溪鄉五峰路,121.74645/24.832818,http://travel.yilan.tw/zh-tw/attraction/details/85
295,芹壁村,08-3656534(北竿遊客中心),連江縣北竿鄉環島北路,119.98251/26.224668,http://www.matsu-nsa.gov.tw/User/Attraction-Content.aspx?a=53&lang=1
296,曾文水庫,06-575-3251,臺南市楠西區密枝里70號,120.53671/23.250550,https://www.siraya-nsa.gov.tw/MainWeb/article.aspx?L=1&SNO=04000686
297,關渡碼頭,02-2720-8889,臺北市北投區關渡碼頭,121.46220/25.120733,https://www.travel.taipei/zh-tw/attraction/details/2
298,富岡漁港,(089)280-011,臺東縣臺東市富岡街297號,121.1921/22.7926,https://www.eastcoast-nsa.gov.tw/zh-tw/Attractions/Detail/164
299,臺灣戲劇館,03-932-2440轉400,宜蘭縣宜蘭市復興路二段101號,121.74526/24.749467,Oops!
300,池上牧野渡假村,(089)862-736,臺東縣池上鄉新興村110號,121.19983/23.109141,http://www.erv-nsa.gov.tw/user/Article.aspx?Lang=1&SNo=03000159
301,烏來泰雅民族博物館,02-2661-8162,新北市烏來區烏來街12號,121.55160/24.864309,http://tour.ntpc.gov.tw/zh-tw/Attraction/Detail?wnd_id=60&id=109669
302,大甲鎮瀾宮,(04)2676-3522,臺中市大甲區順天路158號,120.62348/24.345142,https://travel.taichung.gov.tw/zh-tw/Attractions/Intro/609/
